Nom,Prénom,Mail,Né(e) le,Téléphone,Sexe,Classe,Projet d'accompagnement,Allergies,Régime,Sport,Club,Formation,Groupes,Toutes les options,Redoublement,Moyenne Générale
BENARIES,Frederique,benaries.frederique@outlook.com,12/4/2004,0692396353,Féminin,,,Soja,Demi-pensionnaire,Tennis,Magie,,,ANGLAIS LV1,FAUX,"14,87"
BENBRAHIM,Mohamed Ramy,benbrahim.mohamed ramy@orange.fr,20/12/2000,0688651069,Masculin,,,Fruits à coque,Externe,Karaté,Cinéma,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"14,32"
BENGHEZAL,Hugo,benghezal.hugo@outlook.com,26/10/2002,0617019143,Masculin,TBV,,Fruits à coque,Externe,Football,Robotique,TLEPRO VENTE (PROSPECT.NEGO.SUIV.CLIENT),"Musculation Tle G1 R, TBVFRANCA, TBVMATHS","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"10,24"
BENLEBCHOUCHE- LUCAS,Killian,benlebchouche- lucas.killian@free.fr,5/5/2000,0747654308,Masculin,,,Poisson,Demi-pensionnaire,Natation,Art,,,ANGLAIS LV1,FAUX,"15,49"
BENMESSAHEL,Camélia,benmessahel.camélia@outlook.com,18/6/2002,0775500210,Féminin,,,Fruits à coque,Externe,Basketball,Actualité,,,ANGLAIS LV1,FAUX,"11,63"
BENYAHIA,Siham,benyahia.siham@yahoo.fr,17/3/2004,0739829654,Féminin,2HCRS,,,Demi-pensionnaire,Danse,Robotique,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,"2HCRSACCPE, 2HCRSACCPE_1, 2HCRSMATHS, 2HCRSMATHS_1, 2HCRSMATHS_2, EPS CAP 1",ANGLAIS LV1,FAUX,"13,3"
BERGER,Romain,berger.romain@gmail.com,22/7/2001,0664945318,Masculin,,,Kiwi,Demi-pensionnaire,Football,Peinture,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"14,79"
BERNA,Simon,berna.simon@gmail.com,24/1/2000,0784689252,Masculin,,,Poisson,Demi-pensionnaire,Danse,Sport,,,"ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"10,37"
BERTEAU,Bastien,berteau.bastien@outlook.com,24/6/1999,0743470293,Masculin,2POP3,,Oeuf,Demi-pensionnaire,Gymnastique,Natation,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP3ACCPE_1, 2POP3MATHS, 2POP3MATHS_1",ANGLAIS LV1,FAUX,"13,35"
BERTIER,Mathys,bertier.mathys@gmail.com,3/5/2000,0778641951,Masculin,TEVS,,Lactose,Externe,Tennis,Cinéma,2CAP2  EMPL.VENTE: PRDTS EQUIP.COURANT,,ANGLAIS LV1,FAUX,"12,68"
BETANCUR,Nicolas,betancur.nicolas@gmail.com,8/5/1999,0738424392,Masculin,1MELEC,,Lactose,Externe,Football,Peinture,1ERPRO METIERS ELECT. ENVIRON. CONNECTES,"1MELECCONSTR, 1MELECMATHS",ANGLAIS LV1,FAUX,"12,26"
BETTENCOURT,Mayron,bettencourt.mayron@outlook.com,9/11/2002,0789150994,Masculin,TBC,,Oeuf,Demi-pensionnaire,Gymnastique,Robotique,TLEPRE EUROPEEN COMMERCE,"Musculation Tle G1 R, TBCMATHS, TBCVENTP","ANGLAIS LV1, ESPAGNOL LV2, ANGLAIS SECTION EURO",FAUX,"13,31"
BHICOO,Tarvin,bhicoo.tarvin@orange.fr,18/3/2000,0711233441,Masculin,2BR2,,,Externe,Tennis,Actualité,2NDPRO CUISINE,"2BR2APS CU, 2BR2APS RE, 2BR2FRANCA, 2BR2MATHS, 2BR2MATHS_1",ANGLAIS LV1,FAUX,"12,35"
BIAZI,Jessica,biazi.jessica@yahoo.fr,8/4/2003,0778492700,Féminin,TEVS,,Fruits à coque,Demi-pensionnaire,Natation,Actualité,2CAP2  EMPL.VENTE: PRDTS EQUIP.COURANT,,ANGLAIS LV1,FAUX,"14,3"
BIENNE,Arnaud,bienne.arnaud@orange.fr,26/3/2003,0796822265,Masculin,2BP,,Poisson,Demi-pensionnaire,Natation,Peinture,2NDPRO BOULANGER-PÂTISSIER,"2BPACCPE, 2BPMATHS",ANGLAIS LV1,FAUX,"16,37"
BIKOUTA,Sephorien,bikouta.sephorien@orange.fr,14/10/2002,0639773019,Masculin,1MELEC,,Lactose,Demi-pensionnaire,Danse,Cinéma,1ERPRE METIERS ELECT. ENVIRON. CONNECTES,"1MELECCONSTR, 1MELECMATHS","ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"13,89"
BIKOYI MOUNZENZE,Jean-Moïse,bikoyi mounzenze.jean-moïse@free.fr,10/9/1999,0737626882,Masculin,,,Lactose,Demi-pensionnaire,Natation,Cinéma,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"17,93"
BILLEBEAU,Guillaume,billebeau.guillaume@free.fr,24/9/2000,0637722086,Masculin,,,Kiwi,Externe,Danse,Cinéma,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"15,51"
BILOUM,Abdelmalik,biloum.abdelmalik@free.fr,15/5/2002,0774882516,Masculin,2POP3,,Oeuf,Demi-pensionnaire,Gymnastique,Théâtre,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP3ACCPE, 2POP3ACCPE_1, 2POP3MATHS, 2POP3MATHS_1",ANGLAIS LV1,VRAI,"12,39"
BISSOUN,Hakim,bissoun.hakim@orange.fr,7/3/2001,0747275197,Masculin,TEVS,,Fruits à coque,Demi-pensionnaire,Natation,Natation,2CAP2  EMPL.VENTE: PRDTS EQUIP.COURANT,,ANGLAIS LV1,FAUX,"13,4"
BITOUMBOU,Curtis,bitoumbou.curtis@outlook.com,7/6/2002,0643174446,Masculin,1RISC,,Poisson,Externe,Football,Peinture,1ERPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.,"1RISCACCPE, 1RISCACCPE_1, 1RISCFRANCA_1, 1RISCMATHS, 1RISCMATHS_1",ANGLAIS LV1,FAUX,"16,25"
BITSANGOU,Ewenn,bitsangou.ewenn@yahoo.fr,9/6/2001,0774061931,Masculin,2MCV2,,,Demi-pensionnaire,Football,Peinture,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV2FRANCA, 2MCV2MATHS_1, 2MCV2VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"11,99"
BLAISE MALERNE,Taïna,blaise malerne.taïna@free.fr,13/5/2002,0738164364,Féminin,1BV,,Lactose,Demi-pensionnaire,Tennis,Théâtre,1ERPRO VENTE (PROSPECT.NEGO.SUIV.CLIENT),"1BVACCPE, 1BVMATHS, 1BVMATHS_1, 1BVVENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"17,07"
BLANCHARD,Loan,blanchard.loan@orange.fr,25/4/1999,0722663366,Masculin,1BRS,,Oeuf,Externe,Karaté,Théâtre,1ERPRE EUROPEENNE CUISINE,1BRSMATHS,"ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"15,87"
BLANCHARD,Thomas,blanchard.thomas@outlook.com,4/10/2004,0691955772,Masculin,TBRS,,Kiwi,Demi-pensionnaire,Football,Magie,TLEPRE EUROP.COMM.ET SERV.EN RESTAU,"TBRSACCPE, TBRSMATHS","ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"16,08"
BLASINI,Vincent,blasini.vincent@yahoo.fr,25/9/2003,0650860695,Masculin,2MCV2,,,Demi-pensionnaire,Gymnastique,Magie,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV2FRANCA, 2MCV2MATHS_1, 2MCV2VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"16,26"
BLOCK DE FRIBERG,Romane,block de friberg.romane@yahoo.fr,20/8/2002,0795737681,Féminin,2MCV2,,,Demi-pensionnaire,Tennis,Magie,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV2FRANCA, 2MCV2FRANCA_1, 2MCV2MATHS_1, 2MCV2VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"12,03"
BLOUET,Vincent,blouet.vincent@yahoo.fr,26/7/2003,0611086767,Masculin,,,Poisson,Demi-pensionnaire,Football,Sport,,,"ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"10,57"
BOANA,Anis,boana.anis@outlook.com,5/3/1999,0655146681,Masculin,,,Soja,Demi-pensionnaire,Basketball,Théâtre,,,ANGLAIS LV1,FAUX,"12,51"
BODIN,Valentin,bodin.valentin@outlook.com,11/12/2002,0633905387,Masculin,1BRS,,Fruits à coque,Demi-pensionnaire,Football,Robotique,1ERPRE EUROP.COMMERC. SERVICES EN RESTAU,1BRSMATHS,"ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"14,23"
BOIDOU KOUAME,Ruth,boidou kouame.ruth@gmail.com,18/4/1999,0650213233,Féminin,MCCDRA,,Soja,Externe,Danse,Théâtre,MC  CUISINIER DESSERTS RESTAU. (MC5),,ANGLAIS LV1,FAUX,"10,27"
BOIVIN,Xavier,boivin.xavier@yahoo.fr,2/6/2000,0652581482,Masculin,2BP,,Fruits à coque,Demi-pensionnaire,Football,Robotique,2NDPRO BOULANGER-PÂTISSIER,"2BPACCPE, 2BPMATHS",ANGLAIS LV1,FAUX,"12,69"
BOLANOS,Vasco,bolanos.vasco@outlook.com,27/3/2004,0698808799,Masculin,1BRS,,Poisson,Demi-pensionnaire,Karaté,Théâtre,1ERPRE EUROPEENNE CUISINE,1BRSMATHS,"ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"11,71"
BOLOBA,Halimatou,boloba.halimatou@gmail.com,17/10/2003,072668537,Féminin,1BC,,Oeuf,Externe,Gymnastique,Cinéma,1ERPRE EUROPEEN COMMERCE,1BCMATHS,"ANGLAIS LV1, ESPAGNOL LV2, ANGLAIS SECTION EURO",FAUX,"13,2"
BONI,Solange,boni.solange@gmail.com,18/2/2002,0790186236,Féminin,1BV,,Oeuf,Demi-pensionnaire,Gymnastique,Sport,1ERPRO VENTE (PROSPECT.NEGO.SUIV.CLIENT),"1BVACCPE, 1BVMATHS, 1BVMATHS_1, 1BVVENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"11,39"
BONI,Van Exel,boni.van exel@free.fr,17/2/1999,0656027963,Masculin,2POP2,,Poisson,Demi-pensionnaire,Gymnastique,Théâtre,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP2MATHS, 2POP2MATHS_1",ANGLAIS LV1,FAUX,"10,37"
BONNET,Alexandre,bonnet.alexandre@outlook.com,25/11/2001,0763506594,Masculin,,,Poisson,Demi-pensionnaire,Basketball,Magie,,,ANGLAIS LV1,FAUX,"15,37"
BORDEI,Stiven,bordei.stiven@outlook.com,26/9/2004,0664808339,Masculin,TARED,,,Externe,Natation,Peinture,TLEPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"TAREDCONSTR, TAREDMATHS",ANGLAIS LV1,FAUX,"13,15"
BOREDON,Jonathan,boredon.jonathan@gmail.com,26/11/2000,0755171376,Masculin,,,,Externe,Karaté,Magie,,,ANGLAIS LV1,FAUX,"10,26"
BORSALI,Neïla,borsali.neïla@outlook.com,3/11/1999,0697650811,Féminin,,,,Externe,Danse,Natation,2NDPRO BOULANGER-PÂTISSIER,,ANGLAIS LV1,FAUX,"10,38"
BOUALEGUE,Mohamed,boualegue.mohamed@free.fr,11/7/2004,0628329900,Masculin,,,Poisson,Externe,Karaté,Sport,,,"ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"15,18"
BOUAZAH,Mohamed-Ali,bouazah.mohamed-ali@orange.fr,2/9/2001,0747750084,Masculin,2POP3,,Lactose,Demi-pensionnaire,Tennis,Peinture,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP3ACCPE, 2POP3ACCPE_1, 2POP3MATHS, 2POP3MATHS_1",ANGLAIS LV1,FAUX,"16,36"
BOUAZIZ,Dariss,bouaziz.dariss@free.fr,7/2/2003,0628107403,Masculin,1ARED,,,Demi-pensionnaire,Gymnastique,Natation,1ERPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"1AREDCONSTR, 1AREDMATHS",ANGLAIS LV1,FAUX,"16,17"
BOUAZZA,Ryane,bouazza.ryane@yahoo.fr,4/4/2002,0680388910,Masculin,2HCRS,,Kiwi,Externe,Natation,Natation,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,"2HCRSACCPE, 2HCRSACCPE_1, 2HCRSMATHS, 2HCRSMATHS_1, 2HCRSMATHS_2, EPS CAP 1",ANGLAIS LV1,FAUX,"16,79"
BOUBACAR,Bassirou,boubacar.bassirou@free.fr,26/1/1999,0676900112,Masculin,,,Fruits à coque,Demi-pensionnaire,Football,Sport,,,"ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"11,54"
BOUCHARD,Lisa,bouchard.lisa@outlook.com,21/6/2004,0766177032,Féminin,,,Oeuf,Externe,Danse,Robotique,,,ANGLAIS LV1,FAUX,"17,5"
BOUCHARD,Thibaut,bouchard.thibaut@outlook.com,11/2/2003,0635509440,Masculin,1RISC,,Kiwi,Demi-pensionnaire,Gymnastique,Natation,1ERPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.,"1RISCACCPE, 1RISCACCPE_1, 1RISCFRANCA_1, 1RISCMATHS, 1RISCMATHS_1",ANGLAIS LV1,FAUX,"16,91"
BOUCHENTER,Anis,bouchenter.anis@yahoo.fr,26/2/2000,0715464056,Masculin,,,Soja,Demi-pensionnaire,Danse,Théâtre,,,ANGLAIS LV1,FAUX,"13,11"
BOUCHERIT,Saïd,boucherit.saïd@free.fr,6/3/2000,067938137,Masculin,,,Kiwi,Externe,Basketball,Peinture,,,ANGLAIS LV1,FAUX,"14,98"
BOUDERBAL,Yassine,bouderbal.yassine@outlook.com,9/6/2004,0789258814,Masculin,1ARED,,Fruits à coque,Demi-pensionnaire,Football,Peinture,1ERPRO SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.,"1AREDCONSTR, 1AREDMATHS",ANGLAIS LV1,FAUX,"12,06"
BOUDJENANE,Mélissa,boudjenane.mélissa@yahoo.fr,6/12/1999,0760347098,Féminin,MCCDRA,,,Demi-pensionnaire,Gymnastique,Magie,MC  CUISINIER DESSERTS RESTAU. (MC5),,ANGLAIS LV1,FAUX,"15,37"
BOURCIER,Laura,bourcier.laura@gmail.com,1/6/2002,0612476182,Féminin,2BR1,,,Demi-pensionnaire,Natation,Sport,2NDPRO CUISINE,"2BR1APS CU, 2BR1FRANCA, 2BR1MATHS_1, 2BR1MATHS_1_1, 2BR1MATHS_2",ANGLAIS LV1,FAUX,"17,5"
BOURDAA,Ethan,bourdaa.ethan@orange.fr,15/4/2003,0657972227,Masculin,1BC,,,Demi-pensionnaire,Danse,Théâtre,1ERPRO COMMERCE,1BCMATHS,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"17,25"
BOURGOING,Noah,bourgoing.noah@yahoo.fr,21/8/2004,0756445533,Masculin,,,Soja,Externe,Danse,Robotique,,,ANGLAIS LV1,FAUX,"12,33"
BOUSSAAD,Méhdy,boussaad.méhdy@free.fr,22/2/1999,0697726585,Masculin,2POP2,,Poisson,Externe,Karaté,Natation,2NDPRO SYSTEMES NUMERIQUES 2NDE COMMUNE,"2POP2MATHS, 2POP2MATHS_1",ANGLAIS LV1,FAUX,"11,82"
BOUTRY,Romain,boutry.romain@yahoo.fr,15/2/2001,0689353335,Masculin,2MCV1,,,Demi-pensionnaire,Basketball,Peinture,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV1FRANCA, 2MCV1MATHS, 2MCV1VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"17,05"
BOUZAR,Rayan,bouzar.rayan@free.fr,23/5/2003,0728763857,Masculin,,,,Demi-pensionnaire,Danse,Sport,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"15,56"
BRAHIMI,Serena,brahimi.serena@free.fr,16/11/1999,0715655638,Féminin,,,,Demi-pensionnaire,Gymnastique,Peinture,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,,ANGLAIS LV1,FAUX,"16,88"
BRANTUS,Tilio,brantus.tilio@gmail.com,4/12/2002,078454857,Masculin,TBP,,,Externe,Danse,Théâtre,TLEPRO BOULANGER-PÂTISSIER,TBPMATHS,ANGLAIS LV1,FAUX,"15,15"
BRAS BORGES,Hemma,bras borges.hemma@yahoo.fr,13/2/2001,0738484503,Féminin,2MCV1,,Kiwi,Externe,Karaté,Actualité,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV1FRANCA, 2MCV1MATHS, 2MCV1VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"14,6"
BRASSEUR,Emilie,brasseur.emilie@outlook.com,11/1/2002,0637029713,Féminin,2EVS,,Oeuf,Externe,Football,Natation,1CAP2  EMPL.VENTE: PRDTS EQUIP.COURANTS,"2EVSACCPE, 2EVSACCPE_1, 2EVSMATHS_1, 2EVSMATHS_1_1, 2EVSMATHS_2",ANGLAIS LV1,FAUX,"10,57"
BREVERS,Maelline,brevers.maelline@yahoo.fr,10/4/2003,0682685731,Féminin,TCAPC,,Fruits à coque,Externe,Tennis,Cinéma,2CAP2  CUISINE,,ANGLAIS LV1,FAUX,"10,68"
BRUGERON,Camille,brugeron.camille@outlook.com,26/4/2001,0650563995,Féminin,,,Fruits à coque,Demi-pensionnaire,Football,Théâtre,,,ANGLAIS LV1,FAUX,"15,75"
BRUMANT,Enzo,brumant.enzo@orange.fr,2/6/2000,0610363438,Masculin,TBV,,Kiwi,Demi-pensionnaire,Natation,Robotique,TLEPRO VENTE (PROSPECT.NEGO.SUIV.CLIENT),"Musculation Tle G1 R, TBVFRANCA, TBVMATHS","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"10,75"
CABARET,Paul,cabaret.paul@yahoo.fr,4/12/2001,0629037976,Masculin,1RISC,,Oeuf,Demi-pensionnaire,Tennis,Art,1ERPRO SYST.NUM.OPT.C RES.INF.SYST.COMM.,"1RISCACCPE, 1RISCACCPE_1, 1RISCFRANCA_1, 1RISCMATHS, 1RISCMATHS_1",ANGLAIS LV1,FAUX,"11,94"
CADET,Aymeric,cadet.aymeric@yahoo.fr,6/2/2002,0745670439,Masculin,2MCV2,,,Demi-pensionnaire,Karaté,Théâtre,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV2FRANCA, 2MCV2FRANCA_1, 2MCV2MATHS_1, 2MCV2VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"10,81"
CAMARA,Aicha,camara.aicha@yahoo.fr,22/3/2000,0693873904,Féminin,THCRS,,Poisson,Demi-pensionnaire,Tennis,Cinéma,2CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,,ANGLAIS LV1,FAUX,"15,95"
CAMARA,Bacari,camara.bacari@outlook.com,23/3/2000,071071577,Masculin,,,Soja,Demi-pensionnaire,Basketball,Actualité,,,ANGLAIS LV1,FAUX,"15,42"
CAMARA,Dramane,camara.dramane@orange.fr,4/6/2001,0727656978,Masculin,2BP,,Soja,Demi-pensionnaire,Natation,Théâtre,2NDPRO BOULANGER-PÂTISSIER,"2BPACCPE, 2BPMATHS",ANGLAIS LV1,FAUX,"10,4"
CAMARA,Lassana,camara.lassana@orange.fr,16/4/2001,0763420434,Masculin,2POP1,,,Externe,Tennis,Cinéma,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP1MATHS, 2POP1MATHS_1",ANGLAIS LV1,FAUX,"12,09"
CAMARA,Mina,camara.mina@free.fr,23/4/2004,0747671483,Féminin,TBP,,,Demi-pensionnaire,Karaté,Actualité,TLEPRO BOULANGER-PÂTISSIER,TBPMATHS,ANGLAIS LV1,FAUX,"15,58"
CAMPIAN,Stéphanie,campian.stéphanie@gmail.com,16/7/2002,0654928216,Féminin,2HCRS,,Poisson,Externe,Danse,Sport,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,"2HCRSACCPE, 2HCRSACCPE_1, 2HCRSMATHS, 2HCRSMATHS_1, 2HCRSMATHS_2, EPS CAP 2",ANGLAIS LV1,FAUX,"17,33"
CAMPOPIANO,Enzo,campopiano.enzo@orange.fr,22/7/2001,074434386,Masculin,2HCRS,,Poisson,Demi-pensionnaire,Football,Théâtre,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,"2HCRSACCPE, 2HCRSACCPE_1, 2HCRSMATHS, 2HCRSMATHS_1, EPS CAP 1",ANGLAIS LV1,FAUX,"13,53"
CANEJA VIERA,Anne Marie,caneja viera.anne marie@orange.fr,7/5/2000,0731466765,Féminin,1BP,,,Externe,Basketball,Natation,1ERPRO BOULANGER-PÂTISSIER,1BPMATHS,ANGLAIS LV1,FAUX,"13,31"
CANTREL,Mathéo,cantrel.mathéo@gmail.com,24/8/1999,0656584346,Masculin,2CAPC,,Fruits à coque,Demi-pensionnaire,Basketball,Art,1CAP2  CUISINE,"2CAPCFRANCA_1, 2CAPCMATHS, 2CAPCMATHS_1, EPS CAP 1",ANGLAIS LV1,FAUX,"13,76"
CARDOSO FERREIRA,Lauriane,cardoso ferreira.lauriane@outlook.com,2/9/2002,0718636036,Féminin,2MCV1,,Lactose,Externe,Karaté,Natation,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV1FRANCA, 2MCV1MATHS, 2MCV1VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"11,48"
CARON,Theo,caron.theo@free.fr,24/12/2002,0694285031,Masculin,,,Fruits à coque,Externe,Karaté,Natation,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,,ANGLAIS LV1,FAUX,"15,75"
CARTON,Léa,carton.léa@gmail.com,5/3/2002,0614639615,Féminin,1BC,,Oeuf,Demi-pensionnaire,Karaté,Actualité,1ERPRO COMMERCE,1BCMATHS,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"12,73"
CASANOVA SIMOES,Alexandre,casanova simoes.alexandre@yahoo.fr,18/3/2003,0744727272,Masculin,2BR2,,Fruits à coque,Demi-pensionnaire,Danse,Actualité,2NDPRO CUISINE,"2BR2APS CU, 2BR2APS RE, 2BR2FRANCA, 2BR2MATHS, 2BR2MATHS_1",ANGLAIS LV1,FAUX,"10,68"
CASTANO VELASQUEZ,Juan,castano velasquez.juan@free.fr,5/2/1999,078250111,Masculin,2HCRS,,,Externe,Karaté,Magie,1CAP2  COMMER.SERV.HOTEL-CAFE-RESTAURANT,"2HCRSACCPE, 2HCRSACCPE_1, 2HCRSMATHS, 2HCRSMATHS_1, 2HCRSMATHS_2, EPS CAP 2",ANGLAIS LV1,FAUX,"15,8"
CASTILLO SÁNCHEZ,Marcos,castillo sánchez.marcos@gmail.com,27/2/2003,0695365487,Masculin,2POP2,,,Externe,Gymnastique,Robotique,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP2MATHS, 2POP2MATHS_1",ANGLAIS LV1,FAUX,"15,77"
CELINI,Djhayan,celini.djhayan@outlook.com,14/12/1999,0670009603,Masculin,2BP,,Poisson,Demi-pensionnaire,Tennis,Peinture,2NDPRO BOULANGER-PÂTISSIER,"2BPACCPE, 2BPMATHS",ANGLAIS LV1,FAUX,"16,18"
CENTTY LOPEZ,Mauro Fabian,centty lopez.mauro fabian@outlook.com,21/6/2001,0713199477,Masculin,2MCV2,,,Externe,Natation,Théâtre,2NDPRO MET. RELATION CLIENT 2NDE COMMUNE,"2MCV2FRANCA, 2MCV2FRANCA_1, 2MCV2MATHS_1, 2MCV2VENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"12,61"
CERCEA,Andrea,cercea.andrea@free.fr,6/12/2000,0775298533,Féminin,,,Soja,Demi-pensionnaire,Basketball,Sport,,,ANGLAIS LV1,FAUX,"15,95"
CESAIRE,Edsone,cesaire.edsone@yahoo.fr,1/11/2001,0721713575,Masculin,,,Poisson,Demi-pensionnaire,Danse,Natation,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"16,85"
CESARD,Jade,cesard.jade@outlook.com,26/12/2003,079019762,Féminin,,,Soja,Demi-pensionnaire,Tennis,Actualité,,,ANGLAIS LV1,FAUX,"13,88"
CHARLEMAGNE,Georgia,charlemagne.georgia@yahoo.fr,3/1/1999,0621010843,Féminin,2EVS,,Poisson,Demi-pensionnaire,Basketball,Théâtre,1CAP2  EMPL.VENTE: PRDTS EQUIP.COURANTS,"2EVSACCPE, 2EVSACCPE_1, 2EVSMATHS_1, 2EVSMATHS_1_1, 2EVSMATHS_2",ANGLAIS LV1,FAUX,"14,85"
CHARLES,Aderson,charles.aderson@free.fr,22/11/2000,0683382779,Masculin,1BV,,,Externe,Tennis,Natation,1ERPRO VENTE (PROSPECT.NEGO.SUIV.CLIENT),"1BVACCPE, 1BVMATHS, 1BVMATHS_1, 1BVVENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"12,78"
CHARLIER,Alban,charlier.alban@gmail.com,24/3/2001,071230841,Masculin,,,Fruits à coque,Externe,Football,Cinéma,,,,FAUX,"12,05"
CHARTI,Adam,charti.adam@gmail.com,2/3/2003,0672636317,Masculin,1BRS,,Soja,Externe,Football,Théâtre,1ERPRE EUROPEENNE CUISINE,1BRSMATHS,"ANGLAIS LV1, ANGLAIS SECTION EURO",VRAI,"16,9"
CHARVET,Romain,charvet.romain@free.fr,19/10/2000,064515221,Masculin,1BP,,Oeuf,Externe,Natation,Magie,1ERPRO BOULANGER-PÂTISSIER,1BPMATHS,ANGLAIS LV1,FAUX,"13,38"
CHEHBANI,Akim,chehbani.akim@orange.fr,5/3/2000,0731585931,Masculin,TBRS,,,Demi-pensionnaire,Gymnastique,Peinture,TLEPRE EUROPEENNE CUISINE,TBRSACCPE,"ANGLAIS LV1, ANGLAIS SECTION EURO",FAUX,"15,9"
CHERGUI,Maxime,chergui.maxime@outlook.com,1/2/2001,0736586227,Masculin,2POP3,,,Externe,Natation,Natation,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,"2POP3ACCPE, 2POP3ACCPE_1, 2POP3MATHS, 2POP3MATHS_1",ANGLAIS LV1,FAUX,"11,56"
CHERIF,Shahinez,cherif.shahinez@gmail.com,19/9/2004,0718346376,Féminin,,,,Externe,Football,Art,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"17,65"
CHERY,Camille,chery.camille@gmail.com,8/11/2001,0615428952,Féminin,,,Oeuf,Externe,Tennis,Natation,,,ANGLAIS LV1,VRAI,"11,67"
CHINTARAM,Shail,chintaram.shail@yahoo.fr,26/7/2001,0786016876,Masculin,1BRA,,Oeuf,Demi-pensionnaire,Danse,Théâtre,1ERPRO CUISINE,,ANGLAIS LV1,FAUX,"17,85"
CIAIS,Alexandre,ciais.alexandre@yahoo.fr,5/1/2000,0771618960,Masculin,TBC,,,Demi-pensionnaire,Danse,Cinéma,TLEPRO COMMERCE,"Musculation Tle G2 L, TBCMATHS, TBCVENTP","ANGLAIS LV1, ESPAGNOL LV2",FAUX,"12,49"
CISILOTTO,Pauline,cisilotto.pauline@outlook.com,2/3/2003,0642830689,Féminin,,,Soja,Demi-pensionnaire,Karaté,Robotique,,,"ANGLAIS LV1, ESPAGNOL LV2, ANGLAIS SECTION EURO",FAUX,"14,29"
CISSE,Bekaye,cisse.bekaye@yahoo.fr,17/8/2003,0782512697,Masculin,,,Fruits à coque,Demi-pensionnaire,Football,Magie,,,"ANGLAIS LV1, ESPAGNOL LV2",FAUX,"17,83"
CLEMENT,Alexander,clement.alexander@yahoo.fr,20/7/2002,065818639,Masculin,,,Soja,Demi-pensionnaire,Danse,Magie,2NDPRO METIERS ELECT. ENVIRON. CONNECTES,,ANGLAIS LV1,FAUX,"17,66"
